"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1815519",0.144489127603275,11.4053994511315,1.44872312893039,0.156559785365448,0.375384957394713,-4.93571494653383
"ILMN_1782798",0.211067619100471,9.31944143732975,1.44858630269533,0.156597779900145,0.375384957394713,-4.93589236283033
"ILMN_2215824",0.260153033339338,12.4172997769642,1.44846730987744,0.156630828306934,0.375384957394713,-4.93604664343309
"ILMN_1810856",0.180521139918987,9.99144549373693,1.44832051469943,0.156671605997674,0.375392121075951,-4.93623695601507
"ILMN_1686553",-0.0837187123322545,9.79366798553088,-1.44772218595455,0.156837900512078,0.375665423929497,-4.9370124846015
"ILMN_1740500",-0.258583531611823,10.6100628298064,-1.447619853942,0.156866355812138,0.375665423929497,-4.93714509497462
"ILMN_1688404",-0.10505977061527,11.1295661356855,-1.44750204948875,0.156899118570916,0.375665423929497,-4.93729774567125
"ILMN_1717313",0.136431819695747,9.03801966708444,1.44723737627779,0.156972746963583,0.375751148996683,-4.93764066885821
"ILMN_1724700",-0.0934892360087651,11.3806102409963,-1.44670193320161,0.157121783404285,0.376017296154702,-4.93833424651301
"ILMN_1656951",0.19577668074483,10.2417472384046,1.44652217865137,0.157171841802358,0.376046502038687,-4.93856703833633
"ILMN_2311020",-0.199388543805462,10.8978477768412,-1.44603417551996,0.157307805531658,0.37627718296921,-4.93919890098772
"ILMN_1790680",0.104151149135154,10.486371924104,1.44590427796709,0.157344012286501,0.37627718296921,-4.93936705987466
"ILMN_1658425",0.119268695072714,10.8226632478789,1.44563265356134,0.157419744331384,0.376367687169187,-4.93971864852882
"ILMN_1679382",-0.183955367476018,11.8189547594724,-1.44447225831601,0.157743600952865,0.376785978088356,-4.94122000438764
"ILMN_1652379",0.211160868867861,10.4711012128353,1.44440493059527,0.15776240772681,0.376785978088356,-4.94130708270726
"ILMN_1736814",0.0648305721555617,12.0176070100138,1.44436116829914,0.157774632879402,0.376785978088356,-4.94136368077481
"ILMN_1798659",-0.126870482268109,11.9304591903162,-1.44429497207974,0.157793126452389,0.376785978088356,-4.94144928993028
"ILMN_2345512",0.0903355742662122,9.40932636459937,1.44427876593212,0.157797654307243,0.376785978088356,-4.94147024822618
"ILMN_1756572",0.163224661251549,10.149897953833,1.44414001857512,0.157836423303856,0.376785978088356,-4.94164967220941
"ILMN_1729180",0.154260138432974,11.0118820003358,1.44405493429484,0.157860201409678,0.376785978088356,-4.94175969322028
"ILMN_2162367",0.161330646247077,14.0428843255897,1.44372394891526,0.157952727302416,0.376916260634686,-4.94218763069227
"ILMN_1708101",0.104630680641278,10.3514706670342,1.44329347846254,0.158073128102785,0.377112981405635,-4.94274406582975
"ILMN_1682326",-0.354097924808393,12.8563456248103,-1.44284194776428,0.158199497365048,0.377323843175123,-4.94332756770208
"ILMN_1709396",-0.140732264493058,8.99797932295628,-1.44224884765059,0.158365608852445,0.377629370700958,-4.94409377319603
"ILMN_1751161",0.225096519785477,9.2154676797443,1.44156749326394,0.158556608215212,0.377863036839698,-4.9449736506903
"ILMN_1740441",0.120672320506563,10.9593441321236,1.44155992695312,0.158558730248891,0.377863036839698,-4.94498341951742
"ILMN_1768954",0.173914392636746,8.9798846657709,1.441492245857,0.158577712964033,0.377863036839698,-4.94507080025351
"ILMN_1722218",0.170359450975176,11.3540370985623,1.44112667139183,0.158680277771142,0.377934389918273,-4.9455427187297
"ILMN_1681972",-0.16115209347185,9.43767577887075,-1.44111431003662,0.158683746763551,0.377934389918273,-4.94555867411587
"ILMN_1736577",0.0727531353881112,9.5198094902056,1.4409654821352,0.158725517348706,0.377943262066647,-4.945750763918
"ILMN_1697118",0.0866812924290928,9.02138990554057,1.44057617119156,0.158834823896601,0.378054240709869,-4.94625315913914
"ILMN_1796288",0.240330908497532,8.95499187585069,1.44034720178263,0.158899139253759,0.378054240709869,-4.94654858239758
"ILMN_1777220",-0.0658929354917009,11.31032342976,-1.44027547021017,0.158919292213054,0.378054240709869,-4.94664112417691
"ILMN_1709674",0.14093871657715,9.10042472618124,1.44025746302914,0.158924351641274,0.378054240709869,-4.94666435482727
"ILMN_1786444",-0.311219613178523,9.90478295739474,-1.43991028900691,0.159021921064954,0.378190224724511,-4.94711218629173
"ILMN_1772702",-0.133642630739378,11.1320951135626,-1.43976380879805,0.159063101908538,0.378190224724511,-4.94730110766351
"ILMN_1730639",-0.195293116380791,9.8792306211176,-1.4396477837016,0.15909572670865,0.378190224724511,-4.94745073790561
"ILMN_1726104",-0.157178311293055,9.93825406717431,-1.43941425317096,0.159161408595301,0.378255845211896,-4.94775187544268
"ILMN_1758811",-0.282239201178867,11.2817422338279,-1.43918179257515,0.15922681083647,0.3783013439599,-4.94805159077327
"ILMN_1735453",-0.112077297234791,12.303433659234,-1.43907552382307,0.159256716372086,0.3783013439599,-4.94818859071897
"ILMN_2348403",0.0936559786683748,8.97765199464478,1.43868040562398,0.159367947174224,0.378346661718594,-4.94869789288906
"ILMN_1792473",0.406295839232411,10.3686719893331,1.43865554823262,0.159374946898081,0.378346661718594,-4.9487299296411
"ILMN_1785765",-0.133336189545534,11.8923917798813,-1.43860190902036,0.159390052274242,0.378346661718594,-4.9487990593829
"ILMN_1663667",0.0778214231674676,9.90810903595587,1.43839069363375,0.159449543784343,0.378397460094042,-4.9490712499364
"ILMN_2222984",-0.0889837941768682,12.478039056936,-1.43811946824133,0.159525963605,0.37846499504401,-4.94942072322943
"ILMN_1703852",-0.110981639572549,11.7825208479935,-1.43799887068171,0.159559952177996,0.37846499504401,-4.94957609435034
"ILMN_1728517",0.139405632478827,10.1409550798581,1.43788412934576,0.159592295574729,0.37846499504401,-4.94972391003677
"ILMN_1728355",-0.112010312688583,12.0890653102436,-1.43750156045868,0.159700171878597,0.378630431370401,-4.95021668021738
"ILMN_1793630",0.123205871599978,10.4573138885514,1.43682480268573,0.159891144259071,0.378992752820237,-4.95108810058499
"ILMN_1684034",0.112298773787357,9.96368726501288,1.43661979352476,0.159949030799535,0.379006700290584,-4.95135200756435
"ILMN_1784792",0.160466423772295,9.00650782857943,1.43653374154324,0.159973333432496,0.379006700290584,-4.95146277188881
"ILMN_1758806",0.112981944975133,10.2479019602579,1.43615816817349,0.160079436270094,0.379095362184059,-4.95194613401676
"ILMN_1721034",0.10535503589011,8.97823369346998,1.43604789726042,0.160110599340405,0.379095362184059,-4.95208803139709
"ILMN_2355971",0.101148743937989,9.27770462119326,1.43587694784388,0.160158919905704,0.379095362184059,-4.95230799140873
"ILMN_2246894",0.0850824667762511,12.8042563938982,1.43557873685376,0.160243239791454,0.379095362184059,-4.95269164346004
"ILMN_2142554",0.122698248738026,12.8563830591744,1.43549858499601,0.16026590890007,0.379095362184059,-4.95279474787834
"ILMN_2209163",-0.112846142841052,10.0681577997002,-1.43528580072359,0.160326102318123,0.379095362184059,-4.9530684412874
"ILMN_1677385",-0.117842905959373,11.576218324264,-1.43522763245531,0.160342560338102,0.379095362184059,-4.95314325392949
"ILMN_1720838",0.148200455380197,12.0673612792392,1.4351930573952,0.160352343572306,0.379095362184059,-4.95318772109977
"ILMN_2174805",-0.0953739379249424,9.97258926610914,-1.43508294269206,0.160383504371499,0.379095362184059,-4.95332933394817
"ILMN_1727553",0.161440963617731,9.0655714349551,1.4350516154896,0.160392370370405,0.379095362184059,-4.95336962050827
"ILMN_1663080",0.22613796826531,9.86455415426003,1.43478352010861,0.160468260615918,0.379184514975864,-4.95371435771436
"ILMN_1740185",-0.146760051334721,11.5549054166485,-1.43423645628844,0.160623206891083,0.379434262947636,-4.9544176382306
"ILMN_1681356",0.160208457326771,11.3520559943029,1.43407859800882,0.160667939438952,0.379434262947636,-4.95462052995365
"ILMN_1709043",0.112026983842743,10.2624010904178,1.43376348554372,0.160757262753073,0.379434262947636,-4.95502547837618
"ILMN_1805098",-0.161248637754598,10.6017634617788,-1.43371509781335,0.160770982445103,0.379434262947636,-4.95508765413281
"ILMN_1713993",0.0869188429431134,10.3303601483544,1.43355987322572,0.160815000531888,0.379434262947636,-4.95528709735525
"ILMN_1679495",0.117055935754161,8.96077634418113,1.43351671517663,0.160827240841519,0.379434262947636,-4.95534254641751
"ILMN_2406313",0.126585630017347,9.1081407701306,1.43346707376596,0.160841320844825,0.379434262947636,-4.9554063234314
"ILMN_1674698",0.083946220563897,9.90938161344716,1.43330411928287,0.160887547151609,0.379453203562224,-4.95561566627558
"ILMN_1685413",0.0711284224629785,10.559406539556,1.43216762980819,0.161210233725695,0.379800467300422,-4.95707510019353
"ILMN_2207328",-0.339197176664739,10.6595290910901,-1.4321598871845,0.161212433859802,0.379800467300422,-4.95708503947394
"ILMN_1783204",0.18742705185676,8.96804988917238,1.43212779184494,0.161221554283303,0.379800467300422,-4.95712624006673
"ILMN_2359456",-0.0947573107564906,10.5050842237147,-1.43211718040527,0.161224569789559,0.379800467300422,-4.95713986172922
"ILMN_1688848",0.14029029016626,9.01022659625101,1.43204234239675,0.161245838146796,0.379800467300422,-4.95723592705432
"ILMN_2087575",0.109475929091887,10.831388100237,1.431897800076,0.161286922171484,0.379800467300422,-4.95742145539504
"ILMN_1782635",-0.104187551440991,11.4097138178428,-1.43175855769134,0.161326507575507,0.379800467300422,-4.95760016542026
"ILMN_1794512",0.206312969787517,9.51946544296567,1.43146802094085,0.161409129334491,0.379800467300422,-4.95797300441063
"ILMN_1736939",0.141527518469707,10.4640951052492,1.43146315280468,0.161410514001157,0.379800467300422,-4.95797925100972
"ILMN_1672022",-0.29573615901045,11.5195097838535,-1.43143996262146,0.161417110221701,0.379800467300422,-4.9580090074763
"ILMN_1715173",0.178866033482268,9.02290224411486,1.43123966473657,0.161474091842652,0.379844572191549,-4.95826600194865
"ILMN_1692739",0.166087942855333,10.2234888002977,1.4303012498762,0.161741267516701,0.380382990414514,-4.95946962531648
"ILMN_2060770",-0.102611010249998,10.9718767204444,-1.42984271633283,0.161871943107599,0.380562947712026,-4.960057494457
"ILMN_1663486",-0.10872051010621,10.2802469341857,-1.42976392896105,0.161894404774615,0.380562947712026,-4.96015848821232
"ILMN_1659086",-0.248349451029798,12.622848240381,-1.42945295550939,0.161983084878214,0.380681326042153,-4.96055706246609
"ILMN_2096604",-0.117124601628143,9.95885769659492,-1.42870535757163,0.162196433600501,0.381005790065891,-4.96151494620475
"ILMN_1699545",0.120677089431638,10.1297543341629,1.42870038132495,0.16219785445829,0.381005790065891,-4.96152132070541
"ILMN_2367710",0.133404621028252,9.09940513183101,1.42849543227121,0.162256381675607,0.381053166800351,-4.96178384056538
"ILMN_1734190",-0.0777220585597012,14.0623142501946,-1.42781685777428,0.162450280708908,0.381418361749537,-4.9626527926113
"ILMN_2187718",-0.135180926796254,12.7964669236983,-1.42717128340407,0.162634919575974,0.381761647227724,-4.96347914953418
"ILMN_2129161",0.275714100840529,9.36079179245647,1.42695933862689,0.162695573331001,0.381813802378967,-4.96375037439946
"ILMN_1772876",0.137142120121381,10.3513021281926,1.42666952989464,0.162778538814804,0.381918281668933,-4.9641211841714
"ILMN_1687410",0.126316578051452,9.06312437942387,1.4263163226465,0.162879698875057,0.381944965515441,-4.96457302276553
"ILMN_1716157",0.0702272468094049,9.00061987878906,1.4262346714055,0.16290309118395,0.381944965515441,-4.96467746071635
